0 circle with diameter 0.2. centered at the origin
*
S circle 0.2 0  0.197537813 0.031285978
S circle 0.197537813 0.031285978  0.190211876 0.061801636
S circle 0.190211876 0.061801636  0.178202567 0.090795623
S circle 0.178202567 0.090795623  0.161805577 0.117554052
S circle 0.161805577 0.117554052  0.141424632 0.14141808
S circle 0.141424632 0.14141808  0.117561548 0.161800131
S circle 0.117561548 0.161800131  0.090803879 0.17819836
S circle 0.090803879 0.17819836  0.061810448 0.190209013
S circle 0.061810448 0.190209013  0.031295129 0.197536363
S circle 0.031295129 0.197536363  9.26536E-06 0.2
S circle 9.26536E-06 0.2  -0.031276827 0.197539262
S circle -0.031276827 0.197539262  -0.061792825 0.190214739
S circle -0.061792825 0.190214739  -0.090787368 0.178206773
S circle -0.090787368 0.178206773  -0.117546556 0.161811023
S circle -0.117546556 0.161811023  -0.141411528 0.141431183
S circle -0.141411528 0.141431183  -0.161794685 0.117569043
S circle -0.161794685 0.117569043  -0.178194153 0.090812134
S circle -0.178194153 0.090812134  -0.190206149 0.06181926
S circle -0.190206149 0.06181926  -0.197534913 0.03130428
S circle -0.197534913 0.03130428  -0.199999999 1.85307E-05
S circle -0.199999999 1.85307E-05  -0.197540711 -0.031267675
S circle -0.197540711 -0.031267675  -0.190217601 -0.061784012
S circle -0.190217601 -0.061784012  -0.178210979 -0.090779112
S circle -0.178210979 -0.090779112  -0.161816468 -0.11753906
S circle -0.161816468 -0.11753906  -0.141437734 -0.141404976
S circle -0.141437734 -0.141404976  -0.117576539 -0.161789238
S circle -0.117576539 -0.161789238  -0.090820389 -0.178189946
S circle -0.090820389 -0.178189946  -0.061828072 -0.190203285
S circle -0.061828072 -0.190203285  -0.031313431 -0.197533463
S circle -0.031313431 -0.197533463  -2.77961E-05 -0.199999998
S circle -2.77961E-05 -0.199999998  0.031258524 -0.197542159
S circle 0.031258524 -0.197542159  0.0617752 -0.190220463
S circle 0.0617752 -0.190220463  0.090770856 -0.178215184
S circle 0.090770856 -0.178215184  0.117531563 -0.161821913
S circle 0.117531563 -0.161821913  0.141398424 -0.141444285
S circle 0.141398424 -0.141444285  0.161783791 -0.117584034
S circle 0.161783791 -0.117584034  0.178185739 -0.090828644
S circle 0.178185739 -0.090828644  0.19020042 -0.061836883
S circle 0.19020042 -0.061836883  0.197532012 -0.031322583
S circle 0.197532012 -0.031322583  0.199999997 -3.70614E-05
