0 circle with diameter 0.15, centered at the origin
*
S circle 0.1500 0.0000  0.1427 0.0464
S circle 0.1427 0.0464  0.1214 0.0882
S circle 0.1214 0.0882  0.0882 0.1214
S circle 0.0882 0.1214  0.0464 0.1427
S circle 0.0464 0.1427  0.0000 0.1500
S circle 0.0000 0.1500  -0.0463 0.1427
S circle -0.0463 0.1427  -0.0882 0.1214
S circle -0.0882 0.1214  -0.1213 0.0882
S circle -0.1213 0.0882  -0.1427 0.0464
S circle -0.1427 0.0464  -0.1500 0.0000
S circle -0.1500 0.0000  -0.1427 -0.0463
S circle -0.1427 -0.0463  -0.1214 -0.0882
S circle -0.1214 -0.0882  -0.0882 -0.1213
S circle -0.0882 -0.1213  -0.0464 -0.1427
S circle -0.0464 -0.1427  0.0000 -0.1500
S circle 0.0000 -0.1500  0.0463 -0.1427
S circle 0.0463 -0.1427  0.0881 -0.1214
S circle 0.0881 -0.1214  0.1213 -0.0882
S circle 0.1213 -0.0882  0.1427 -0.0464
S circle 0.1427 -0.0464  0.1500 0.0000
