0 circle with diameter 1.0, centered at the origin
*
S circle 1 0  0.951059379 0.309008182
S circle 0.951059379 0.309008182  0.809027886 0.587770261
S circle 0.809027886 0.587770261  0.58780774 0.809000656
S circle 0.58780774 0.809000656  0.309052242 0.951045063
S circle 0.309052242 0.951045063  4.63268E-05 0.999999999
S circle 4.63268E-05 0.999999999  -0.308964123 0.951073694
S circle -0.308964123 0.951073694  -0.58773278 0.809055115
S circle -0.58773278 0.809055115  -0.808973424 0.587845217
S circle -0.808973424 0.587845217  -0.951030745 0.3090963
S circle -0.951030745 0.3090963  -0.999999996 9.26536E-05
S circle -0.999999996 9.26536E-05  -0.951088006 -0.308920062
S circle -0.951088006 -0.308920062  -0.809082342 -0.587695299
S circle -0.809082342 -0.587695299  -0.587882694 -0.80894619
S circle -0.587882694 -0.80894619  -0.309140358 -0.951016424
S circle -0.309140358 -0.951016424  -0.00013898 -0.99999999
S circle -0.00013898 -0.99999999  0.308876001 -0.951102316
S circle 0.308876001 -0.951102316  0.587657816 -0.809109567
S circle 0.587657816 -0.809109567  0.808918954 -0.587920169
S circle 0.808918954 -0.587920169  0.951002102 -0.309184415
S circle 0.951002102 -0.309184415  0.999999983 -0.000185307

