0 circle with diameter 0.1. centered at the origin
*
S circle 0.1 0  0.098768907 0.015642989
S circle 0.098768907 0.015642989  0.095105938 0.030900818
S circle 0.095105938 0.030900818  0.089101283 0.045397812
S circle 0.089101283 0.045397812  0.080902789 0.058777026
S circle 0.080902789 0.058777026  0.070712316 0.07070904
S circle 0.070712316 0.07070904  0.058780774 0.080900066
S circle 0.058780774 0.080900066  0.045401939 0.08909918
S circle 0.045401939 0.08909918  0.030905224 0.095104506
S circle 0.030905224 0.095104506  0.015647565 0.098768182
S circle 0.015647565 0.098768182  4.63268E-06 0.1
S circle 4.63268E-06 0.1  -0.015638413 0.098769631
S circle -0.015638413 0.098769631  -0.030896412 0.095107369
S circle -0.030896412 0.095107369  -0.045393684 0.089103386
S circle -0.045393684 0.089103386  -0.058773278 0.080905511
S circle -0.058773278 0.080905511  -0.070705764 0.070715592
S circle -0.070705764 0.070715592  -0.080897342 0.058784522
S circle -0.080897342 0.058784522  -0.089097077 0.045406067
S circle -0.089097077 0.045406067  -0.095103074 0.03090963
S circle -0.095103074 0.03090963  -0.098767457 0.01565214
S circle -0.098767457 0.01565214  -0.1 9.26536E-06
S circle -0.1 9.26536E-06  -0.098770355 -0.015633838
S circle -0.098770355 -0.015633838  -0.095108801 -0.030892006
S circle -0.095108801 -0.030892006  -0.089105489 -0.045389556
S circle -0.089105489 -0.045389556  -0.080908234 -0.05876953
S circle -0.080908234 -0.05876953  -0.070718867 -0.070702488
S circle -0.070718867 -0.070702488  -0.058788269 -0.080894619
S circle -0.058788269 -0.080894619  -0.045410195 -0.089094973
S circle -0.045410195 -0.089094973  -0.030914036 -0.095101642
S circle -0.030914036 -0.095101642  -0.015656716 -0.098766732
S circle -0.015656716 -0.098766732  -1.3898E-05 -0.099999999
S circle -1.3898E-05 -0.099999999  0.015629262 -0.09877108
S circle 0.015629262 -0.09877108  0.0308876 -0.095110232
S circle 0.0308876 -0.095110232  0.045385428 -0.089107592
S circle 0.045385428 -0.089107592  0.058765782 -0.080910957
S circle 0.058765782 -0.080910957  0.070699212 -0.070722142
S circle 0.070699212 -0.070722142  0.080891895 -0.058792017
S circle 0.080891895 -0.058792017  0.089092869 -0.045414322
S circle 0.089092869 -0.045414322  0.09510021 -0.030918442
S circle 0.09510021 -0.030918442  0.098766006 -0.015661291
S circle 0.098766006 -0.015661291  0.099999998 -1.85307E-05
