0 circle with diameter 0.2, centered at the origin
*
S circle 0.2000 0.0000  0.1902 0.0618
S circle 0.1902 0.0618  0.1618 0.1176
S circle 0.1618 0.1176  0.1176 0.1618
S circle 0.1176 0.1618  0.0618 0.1902
S circle 0.0618 0.1902  0.0000 0.2000
S circle 0.0000 0.2000  -0.0618 0.1902
S circle -0.0618 0.1902  -0.1175 0.1618
S circle -0.1175 0.1618  -0.1618 0.1176
S circle -0.1618 0.1176  -0.1902 0.0618
S circle -0.1902 0.0618  -0.2000 0.0000
S circle -0.2000 0.0000  -0.1902 -0.0618
S circle -0.1902 -0.0618  -0.1618 -0.1175
S circle -0.1618 -0.1175  -0.1176 -0.1618
S circle -0.1176 -0.1618  -0.0618 -0.1902
S circle -0.0618 -0.1902  0.0000 -0.2000
S circle 0.0000 -0.2000  0.0618 -0.1902
S circle 0.0618 -0.1902  0.1175 -0.1618
S circle 0.1175 -0.1618  0.1618 -0.1176
S circle 0.1618 -0.1176  0.1902 -0.0618
S circle 0.1902 -0.0618  0.2000 0.0000
